# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.0000000000e+00
# lRef            : 1.0000000000e+01
# Aref            : 1.0000000000e+01
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-4.6964739023e-03	3.2821055798e-01	8.7650600892e-04	-4.2582208978e-03	5.1347269067e-03
1                 	-4.6042970571e+00	6.0060133881e+00	2.9904305979e+00	-3.1090817582e+00	6.0995123560e+00
2                 	-6.9197503798e+00	8.3784199618e+00	4.5405758226e+00	-4.6494624685e+00	9.1900382911e+00
3                 	-7.2904195883e+00	8.0117945225e+00	4.8458529728e+00	-4.8674931020e+00	9.7133460747e+00
4                 	-6.4248315567e+00	5.8795901843e+00	4.3505636918e+00	-4.2495497108e+00	8.6001134026e+00
5                 	-4.9842400624e+00	3.1057686202e+00	3.4693067298e+00	-3.2495866975e+00	6.7188934273e+00
6                 	-3.5088427924e+00	6.0298949440e-01	2.5483150825e+00	-2.2346852512e+00	4.7830003337e+00
7                 	-2.3480380180e+00	-1.0822032729e+00	1.8166643769e+00	-1.4397058295e+00	3.2563702064e+00
8                 	-1.6159641307e+00	-1.7975187150e+00	1.3507229365e+00	-9.4060266243e-01	2.2913255989e+00
9                 	-1.3236852913e+00	-1.6779421154e+00	1.1591272068e+00	-7.4412168788e-01	1.9032488947e+00
10                	-1.3371267920e+00	-1.0225450890e+00	1.1586743491e+00	-7.5778961741e-01	1.9164639665e+00
11                	-1.5539722837e+00	-1.8332367395e-01	1.2853665711e+00	-9.1128899814e-01	2.1966555692e+00
12                	-1.8654360157e+00	5.7812864493e-01	1.4715601663e+00	-1.1296559325e+00	2.6012160988e+00
13                	-2.1729095482e+00	1.0944077553e+00	1.6547616339e+00	-1.3455287313e+00	3.0002903652e+00
14                	-2.4164115204e+00	1.3153672398e+00	1.7975401729e+00	-1.5176414339e+00	3.3151816068e+00
15                	-2.5673591501e+00	1.2873714044e+00	1.8851077846e+00	-1.6248052579e+00	3.5099130424e+00
16                	-2.6389128032e+00	1.0941663404e+00	1.9286099664e+00	-1.6746078200e+00	3.6032177864e+00
17                	-2.6421869309e+00	8.3408354731e-01	1.9325748066e+00	-1.6758995276e+00	3.6084743342e+00
18                	-2.5980837955e+00	5.9064706930e-01	1.9096874082e+00	-1.6432400914e+00	3.5529274996e+00
19                	-2.5286887565e+00	4.1556980188e-01	1.8732954854e+00	-1.5920410139e+00	3.4653364992e+00
20                	-2.4566991746e+00	3.2690751763e-01	1.8362986557e+00	-1.5385498468e+00	3.3748485024e+00
