# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.0000000000e+00
# lRef            : 1.0000000000e+01
# Aref            : 1.0000000000e+01
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-2.9239503704e-03	3.2624958768e-01	5.7560135311e-04	-2.6361496939e-03	3.2117510470e-03
1                 	-3.0122712510e+00	5.9036662628e+00	1.9729954390e+00	-2.0257735315e+00	3.9987689705e+00
2                 	-4.4987708202e+00	8.2169123241e+00	2.9800032966e+00	-3.0087691719e+00	5.9887724685e+00
3                 	-4.7334353684e+00	7.8285548131e+00	3.1591946098e+00	-3.1538380635e+00	6.3130326733e+00
4                 	-4.1638835578e+00	5.6920179303e+00	2.8148787231e+00	-2.7564441963e+00	5.5713229193e+00
5                 	-3.2183189042e+00	2.9366844670e+00	2.2191998068e+00	-2.1087190008e+00	4.3279188076e+00
6                 	-2.2504665321e+00	4.6758265065e-01	1.6049570531e+00	-1.4479880055e+00	3.0529450586e+00
7                 	-1.4901099841e+00	-1.1797789467e+00	1.1255963135e+00	-9.2731182731e-01	2.0529081408e+00
8                 	-1.0201555083e+00	-1.8636208994e+00	8.3433401546e-01	-6.0298850060e-01	1.4373225161e+00
9                 	-8.2628704013e-01	-1.7374622831e+00	7.2208808285e-01	-4.6524299871e-01	1.1873310816e+00
10                	-8.4575456494e-01	-1.0892612087e+00	7.4051788583e-01	-4.7549562202e-01	1.2160135079e+00
11                	-9.9445905536e-01	-2.4383886667e-01	8.3592129790e-01	-5.7649840642e-01	1.4124197043e+00
12                	-1.1871837524e+00	5.2302815184e-01	9.5467009887e-01	-7.0984870299e-01	1.6645188019e+00
13                	-1.3821587002e+00	1.0437864013e+00	1.0695630112e+00	-8.4737719456e-01	1.9169402058e+00
14                	-1.5356403373e+00	1.2667294197e+00	1.1550850375e+00	-9.5809781849e-01	2.1131828560e+00
15                	-1.6303224660e+00	1.2382910350e+00	1.2032209630e+00	-1.0287119845e+00	2.2319329475e+00
16                	-1.6710351706e+00	1.0447546008e+00	1.2212788141e+00	-1.0603957635e+00	2.2816745776e+00
17                	-1.6719747940e+00	7.8202246520e-01	1.2190611611e+00	-1.0624442134e+00	2.2815053745e+00
18                	-1.6490485604e+00	5.3241877403e-01	1.2061772875e+00	-1.0459599166e+00	2.2521372042e+00
19                	-1.6165565995e+00	3.5319348818e-01	1.1901988028e+00	-1.0214571981e+00	2.2116560009e+00
20                	-1.5784217595e+00	2.6301713710e-01	1.1732335506e+00	-9.9180498421e-01	2.1650385349e+00
