# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.0000000000e+00
# lRef            : 1.0000000000e+01
# Aref            : 1.0000000000e+01
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-4.4273193080e-03	3.2824972241e-01	8.2232663355e-04	-4.0161559913e-03	4.8384826248e-03
1                 	-4.3499549972e+00	5.9887105490e+00	2.8429813511e+00	-2.9284643216e+00	5.7714456727e+00
2                 	-6.5443093803e+00	8.3521736389e+00	4.3204223500e+00	-4.3840982053e+00	8.7045205553e+00
3                 	-6.8729851283e+00	7.9960774217e+00	4.5973277880e+00	-4.5743212342e+00	9.1716490223e+00
4                 	-6.0380580603e+00	5.8699278387e+00	4.1148717852e+00	-3.9806221677e+00	8.0954939529e+00
5                 	-4.6559921384e+00	3.1038379388e+00	3.2628908170e+00	-3.0245467299e+00	6.2874375470e+00
6                 	-3.2453982682e+00	6.0833358316e-01	2.3768189111e+00	-2.0569888127e+00	4.4338077238e+00
7                 	-2.1404906662e+00	-1.0736485299e+00	1.6769919545e+00	-1.3019946889e+00	2.9789866434e+00
8                 	-1.4469580070e+00	-1.7892803531e+00	1.2330711121e+00	-8.3042245098e-01	2.0634935630e+00
9                 	-1.1666752965e+00	-1.6760958861e+00	1.0460951166e+00	-6.4362773815e-01	1.6897228548e+00
10                	-1.1931408747e+00	-1.0253939773e+00	1.0538690301e+00	-6.6620635967e-01	1.7200753898e+00
11                	-1.4166091077e+00	-1.8323662544e-01	1.1875972636e+00	-8.2281047588e-01	2.0104077394e+00
12                	-1.7180085655e+00	5.7632074371e-01	1.3696465377e+00	-1.0331852966e+00	2.4028318343e+00
13                	-2.0113493835e+00	1.0913599852e+00	1.5453836029e+00	-1.2386575820e+00	2.7840411849e+00
