# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.0000000000e+00
# lRef            : 1.0000000000e+01
# Aref            : 1.0000000000e+01
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	3.7705388639e-04	3.2996922381e-01	-7.6040738555e-05	3.3903351711e-04	-4.1507425567e-04
1                 	3.1127225313e-01	6.0463528001e+00	-1.1413059365e-01	2.5420695631e-01	-3.6833754996e-01
2                 	4.6586250284e-01	8.4621244297e+00	-1.8063044331e-01	3.7554728118e-01	-5.5617772450e-01
3                 	4.9468114180e-01	8.1236445835e+00	-2.1424267218e-01	3.8755980570e-01	-6.0180247789e-01
4                 	4.4280155605e-01	5.9996380451e+00	-2.2685497951e-01	3.2937406630e-01	-5.5622904581e-01
5                 	3.5402725954e-01	3.2302354554e+00	-2.2415290878e-01	2.4195080515e-01	-4.6610371393e-01
6                 	2.5534661581e-01	7.2271380429e-01	-2.0593116001e-01	1.5238103581e-01	-3.5831219582e-01
7                 	1.6647366139e-01	-9.8042564367e-01	-1.7492228686e-01	7.9012517960e-02	-2.5393480482e-01
8                 	1.0524710641e-01	-1.7140198842e+00	-1.3967297536e-01	3.5410618734e-02	-1.7508359410e-01
9                 	6.9700775749e-02	-1.6284241834e+00	-1.0564291070e-01	1.6879320396e-02	-1.2252223110e-01
10                	6.2839948879e-02	-1.0025780407e+00	-8.0647407561e-02	2.2516245098e-02	-1.0316365266e-01
11                	7.9593126534e-02	-1.6541404303e-01	-6.8239069257e-02	4.5473591906e-02	-1.1371266116e-01
12                	1.0804391507e-01	5.9766119496e-01	-6.6169520609e-02	7.4959154767e-02	-1.4112867538e-01
13                	1.4162097020e-01	1.1207111253e+00	-7.5223099897e-02	1.0400942026e-01	-1.7923252015e-01
14                	1.7421584306e-01	1.3524009994e+00	-9.2874902943e-02	1.2777839159e-01	-2.2065329453e-01
15                	1.9777923275e-01	1.3381476281e+00	-1.1129567952e-01	1.4213139299e-01	-2.5342707251e-01
16                	2.1298481412e-01	1.1579755415e+00	-1.2785936036e-01	1.4905513394e-01	-2.7691449430e-01
17                	2.1966038688e-01	9.0350923641e-01	-1.3996941802e-01	1.4967567787e-01	-2.8964509589e-01
18                	2.1987105555e-01	6.5729153897e-01	-1.4722127053e-01	1.4626042029e-01	-2.9348169081e-01
19                	2.1521115321e-01	4.7803855488e-01	-1.4880138814e-01	1.4081045913e-01	-2.8961184728e-01
20                	2.0377896846e-01	3.8421236197e-01	-1.4325065004e-01	1.3215364344e-01	-2.7540429348e-01
21                	1.9183909440e-01	3.6428522974e-01	-1.3530159577e-01	1.2418829652e-01	-2.5948989229e-01
22                	1.8098983069e-01	3.9881788044e-01	-1.2642541570e-01	1.1777712284e-01	-2.4420253854e-01
23                	1.7273483597e-01	4.6210372873e-01	-1.1868610527e-01	1.1339178333e-01	-2.3207788860e-01
24                	1.6725455044e-01	5.2780318386e-01	-1.1291376308e-01	1.1079766890e-01	-2.2371143198e-01
25                	1.6547092471e-01	5.7887319571e-01	-1.1020392281e-01	1.1036896330e-01	-2.2057288612e-01
26                	1.6808830045e-01	6.0764127234e-01	-1.1132673428e-01	1.1242493331e-01	-2.2375166759e-01
27                	1.7156144858e-01	6.1410831999e-01	-1.1369528071e-01	1.1471380823e-01	-2.2840908894e-01
28                	1.7594386498e-01	6.0326084488e-01	-1.1722525133e-01	1.1733123931e-01	-2.3455649064e-01
