# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.0000000000e+00
# lRef            : 1.0000000000e+01
# Aref            : 1.0000000000e+01
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-3.6972061530e-03	3.2731791468e-01	7.0499137942e-04	-3.3447104633e-03	4.0497018427e-03
1                 	-3.7201224276e+00	5.9571869940e+00	2.4318564798e+00	-2.5041941877e+00	4.9360506674e+00
2                 	-5.5718598060e+00	8.2947797709e+00	3.6776197423e+00	-3.7330499349e+00	7.4106696772e+00
3                 	-5.8353161232e+00	7.9251364784e+00	3.8999730213e+00	-3.8853296126e+00	7.7853026339e+00
4                 	-5.1027164933e+00	5.7949585535e+00	3.4726116354e+00	-3.3664106756e+00	6.8390223110e+00
5                 	-3.9087310500e+00	3.0311531901e+00	2.7340113726e+00	-2.5417253637e+00	5.2757367363e+00
6                 	-2.6977985630e+00	5.4251704612e-01	1.9727280918e+00	-1.7114345171e+00	3.6841626089e+00
7                 	-1.7524054155e+00	-1.1288248924e+00	1.3747339414e+00	-1.0650384448e+00	2.4397723862e+00
8                 	-1.1657116601e+00	-1.8319472670e+00	1.0024230162e+00	-6.6450015196e-01	1.6669231682e+00
9                 	-9.3258959250e-01	-1.7179159653e+00	8.5251455448e-01	-5.0633231526e-01	1.3588468697e+00
10                	-9.5630575472e-01	-1.0630903765e+00	8.6286266174e-01	-5.2487442385e-01	1.3877370856e+00
11                	-1.1409413013e+00	-2.1637141904e-01	9.7582461515e-01	-6.5302899376e-01	1.6288536089e+00
12                	-1.3900654550e+00	5.4659221472e-01	1.1274602588e+00	-8.2633532558e-01	1.9537955843e+00
13                	-1.6322648282e+00	1.0633098328e+00	1.2723052250e+00	-9.9611221570e-01	2.2684174407e+00
14                	-1.8224700931e+00	1.2833185724e+00	1.3819201166e+00	-1.1315100348e+00	2.5134301514e+00
15                	-1.9366321037e+00	1.2570523742e+00	1.4449952751e+00	-1.2141344661e+00	2.6591297412e+00
16                	-1.9909229424e+00	1.0660918224e+00	1.4759706552e+00	-1.2529376148e+00	2.7289082700e+00
17                	-1.9973300592e+00	8.0671497154e-01	1.4797931593e+00	-1.2574334796e+00	2.7372266389e+00
18                	-1.9735841407e+00	5.6180629074e-01	1.4668333936e+00	-1.2401674439e+00	2.7070008375e+00
19                	-1.9308715307e+00	3.8591874973e-01	1.4445882506e+00	-1.2085774054e+00	2.6531656560e+00
20                	-1.8823487596e+00	2.9747815582e-01	1.4207667961e+00	-1.1719653616e+00	2.5927321576e+00
21                	-1.8426603979e+00	2.8289816288e-01	1.4021287309e+00	-1.1415960324e+00	2.5437247633e+00
22                	-1.8138421545e+00	3.2043113328e-01	1.3890222180e+00	-1.1193310455e+00	2.5083532635e+00
23                	-1.7968835778e+00	3.8564048611e-01	1.3812657606e+00	-1.1062506975e+00	2.4875164581e+00
24                	-1.7904895075e+00	4.5144933292e-01	1.3785368156e+00	-1.1012210997e+00	2.4797579153e+00
25                	-1.7924384099e+00	5.0148402990e-01	1.3794400911e+00	-1.1027183644e+00	2.4821584554e+00
26                	-1.8003968087e+00	5.2837030431e-01	1.3826567674e+00	-1.1090684250e+00	2.4917251925e+00
27                	-1.8108858156e+00	5.3309981545e-01	1.3869523249e+00	-1.1174096531e+00	2.5043619780e+00
28                	-1.8211313531e+00	5.2119649572e-01	1.3914284704e+00	-1.1254171179e+00	2.5168455883e+00
29                	-1.8327510811e+00	4.9863205776e-01	1.3971400233e+00	-1.1341810694e+00	2.5313210927e+00
30                	-1.8436511938e+00	4.7310650917e-01	1.4029947861e+00	-1.1421538008e+00	2.5451485869e+00
31                	-1.8533328453e+00	4.5030302224e-01	1.4087932327e+00	-1.1489362289e+00	2.5577294616e+00
32                	-1.8614147208e+00	4.3319576849e-01	1.4142270932e+00	-1.1543011742e+00	2.5685282674e+00
33                	-1.8678240513e+00	4.2314570796e-01	1.4190413558e+00	-1.1583033734e+00	2.5773447292e+00
34                	-1.8729064105e+00	4.1909731541e-01	1.4230265724e+00	-1.1613931243e+00	2.5844196967e+00
35                	-1.8766217077e+00	4.1933497777e-01	1.4263949003e+00	-1.1634242576e+00	2.5898191579e+00
36                	-1.8793734760e+00	4.2122327844e-01	1.4288434660e+00	-1.1649517430e+00	2.5937952091e+00
37                	-1.8811666518e+00	4.2321728774e-01	1.4304051423e+00	-1.1659640806e+00	2.5963692229e+00
38                	-1.8821790508e+00	4.2414435178e-01	1.4312346535e+00	-1.1665617241e+00	2.5977963775e+00
39                	-1.8827647260e+00	4.2364246895e-01	1.4315644319e+00	-1.1669825101e+00	2.5985469420e+00
40                	-1.8830029456e+00	4.2165915046e-01	1.4315687807e+00	-1.1672185553e+00	2.5987873360e+00
41                	-1.8831347444e+00	4.1799508126e-01	1.4314998553e+00	-1.1673848167e+00	2.5988846720e+00
