# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.0000000000e+00
# lRef            : 1.0000000000e+01
# Aref            : 1.0000000000e+01
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-3.3360903731e-03	3.2845615161e-01	6.0389337304e-04	-3.0341436866e-03	3.6380370596e-03
1                 	-3.3236897438e+00	5.9963177386e+00	2.2165589355e+00	-2.2154102761e+00	4.4319692116e+00
2                 	-4.9963316395e+00	8.3663442923e+00	3.3654219362e+00	-3.3136206714e+00	6.6790426076e+00
3                 	-5.1402161843e+00	8.0161065131e+00	3.4896865804e+00	-3.3953728942e+00	6.8850594745e+00
4                 	-4.4255405250e+00	5.8891980741e+00	3.0481180010e+00	-2.9014815245e+00	5.9495995255e+00
5                 	-3.3034657624e+00	3.1207678329e+00	2.3299438348e+00	-2.1384938450e+00	4.4684376798e+00
6                 	-2.1982924262e+00	6.2199078660e-01	1.6212932950e+00	-1.3876457787e+00	3.0089390737e+00
7                 	-1.3744416273e+00	-1.0638879567e+00	1.0985711645e+00	-8.2515604501e-01	1.9237272095e+00
8                 	-8.9911298577e-01	-1.7861712595e+00	8.0365289204e-01	-4.9728653975e-01	1.3009394318e+00
9                 	-7.7664539359e-01	-1.6819049578e+00	7.3833860387e-01	-4.0747609166e-01	1.1458146955e+00
10                	-8.4844564813e-01	-1.0330691152e+00	7.8925951327e-01	-4.5381589150e-01	1.2430754048e+00
11                	-1.0341293358e+00	-1.9380241200e-01	9.0661935132e-01	-5.8081966013e-01	1.4874390115e+00
12                	-1.2446718995e+00	5.7231275865e-01	1.0310828886e+00	-7.2913045517e-01	1.7602133438e+00
13                	-1.4409197048e+00	1.0909274742e+00	1.1426182161e+00	-8.6961059673e-01	2.0122288129e+00
14                	-1.5894247044e+00	1.3123016062e+00	1.2215745158e+00	-9.7863744649e-01	2.2002119623e+00
15                	-1.6634216638e+00	1.2890109149e+00	1.2542331312e+00	-1.0363050982e+00	2.2905382294e+00
16                	-1.6867220411e+00	1.1035627043e+00	1.2598698697e+00	-1.0567871062e+00	2.3166569759e+00
17                	-1.6846353006e+00	8.4774681106e-01	1.2560585418e+00	-1.0566060297e+00	2.3126645715e+00
18                	-1.6749118903e+00	6.0107724322e-01	1.2536465495e+00	-1.0480886156e+00	2.3017351650e+00
19                	-1.6561841933e+00	4.2060997359e-01	1.2491360930e+00	-1.0316161468e+00	2.2807522398e+00
20                	-1.6288833582e+00	3.2884433806e-01	1.2411804976e+00	-1.0082931094e+00	2.2494736070e+00
21                	-1.6093713695e+00	3.1137356465e-01	1.2383912819e+00	-9.9017572853e-01	2.2285670104e+00
22                	-1.5926234926e+00	3.4768140671e-01	1.2350164431e+00	-9.7511527102e-01	2.2101317141e+00
