# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.0000000000e+00
# lRef            : 1.0000000000e+01
# Aref            : 1.0000000000e+01
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-3.2068739168e-03	3.3163575048e-01	5.4789323440e-04	-2.9329272996e-03	3.4808205341e-03
1                 	-3.3913048924e+00	6.1537582302e+00	2.2389882763e+00	-2.2718107543e+00	4.5107990306e+00
2                 	-5.1425851808e+00	8.6368741605e+00	3.4218617235e+00	-3.4316543190e+00	6.8535160425e+00
3                 	-5.3507812117e+00	8.3284424261e+00	3.6002094771e+00	-3.5506764731e+00	7.1508859503e+00
4                 	-4.6313241105e+00	6.2095869144e+00	3.1677139470e+00	-3.0474671370e+00	6.2151810841e+00
5                 	-3.4734520442e+00	3.4214418777e+00	2.4395902229e+00	-2.2536569327e+00	4.6932471556e+00
6                 	-2.3110292846e+00	8.8579802244e-01	1.6993777510e+00	-1.4613404091e+00	3.1607181601e+00
7                 	-1.4182121232e+00	-8.4471851873e-01	1.1290718464e+00	-8.5367619999e-01	1.9827480464e+00
8                 	-8.7813510266e-01	-1.6038299000e+00	7.8472204553e-01	-4.8577407989e-01	1.2704961254e+00
9                 	-6.8969403819e-01	-1.5340180960e+00	6.6303444961e-01	-3.5817681338e-01	1.0212112630e+00
10                	-7.4336026229e-01	-9.2162622521e-01	6.9563557033e-01	-3.9554247713e-01	1.0911780475e+00
11                	-9.3481217104e-01	-9.7225155804e-02	8.1418472817e-01	-5.2771980696e-01	1.3419045351e+00
12                	-1.1802252037e+00	6.5780083988e-01	9.6445566795e-01	-6.9799736977e-01	1.6624530377e+00
13                	-1.4149189712e+00	1.1797206582e+00	1.1053445268e+00	-8.6224670783e-01	1.9675912347e+00
14                	-1.5958449107e+00	1.4147962719e+00	1.2098699678e+00	-9.9090992675e-01	2.2007798946e+00
15                	-1.7031714651e+00	1.4049332590e+00	1.2701262378e+00	-1.0681083462e+00	2.3382345840e+00
16                	-1.7475100863e+00	1.2298118722e+00	1.2939046560e+00	-1.1005577583e+00	2.3944624144e+00
17                	-1.7460634556e+00	9.8180004582e-01	1.2915129620e+00	-1.1003069746e+00	2.3918199366e+00
18                	-1.7150562947e+00	7.4263096321e-01	1.2732242060e+00	-1.0784441917e+00	2.3516683977e+00
19                	-1.6652628207e+00	5.6577185212e-01	1.2461004024e+00	-1.0422126195e+00	2.2883130219e+00
20                	-1.6141940916e+00	4.7135926403e-01	1.2202643260e+00	-1.0040619285e+00	2.2243262546e+00
21                	-1.5754667633e+00	4.4914690145e-01	1.2019468251e+00	-9.7449335078e-01	2.1764401758e+00
22                	-1.5477711362e+00	4.8050891093e-01	1.1898346386e+00	-9.5285381696e-01	2.1426884555e+00
23                	-1.5330790525e+00	5.3957272905e-01	1.1841796757e+00	-9.4098921461e-01	2.1251688904e+00
24                	-1.5275488797e+00	6.0336995290e-01	1.1824584534e+00	-9.3631965303e-01	2.1187781064e+00
25                	-1.5304295551e+00	6.5351208130e-01	1.1843115904e+00	-9.3827375988e-01	2.1225853503e+00
26                	-1.5379858619e+00	6.8190820931e-01	1.1876124704e+00	-9.4417962671e-01	2.1317920971e+00
27                	-1.5466454931e+00	6.8888117344e-01	1.1911240844e+00	-9.5108345087e-01	2.1422075353e+00
28                	-1.5561528520e+00	6.7910261997e-01	1.1950155628e+00	-9.5864507055e-01	2.1536606334e+00
29                	-1.5661995730e+00	6.5903231053e-01	1.1994771591e+00	-9.6646099342e-01	2.1659381526e+00
30                	-1.5753885756e+00	6.3559590088e-01	1.2038518905e+00	-9.7346263031e-01	2.1773145208e+00
31                	-1.5840141714e+00	6.1377611487e-01	1.2084878993e+00	-9.7977022171e-01	2.1882581210e+00
32                	-1.5923023119e+00	5.9620979711e-01	1.2135371476e+00	-9.8553373813e-01	2.1990708857e+00
33                	-1.6007663236e+00	5.8459117994e-01	1.2188918379e+00	-9.9132040466e-01	2.2102122426e+00
34                	-1.6076505460e+00	5.7931100194e-01	1.2235731889e+00	-9.9586395154e-01	2.2194371405e+00
35                	-1.6129259348e+00	5.7851005973e-01	1.2274862004e+00	-9.9918283462e-01	2.2266690350e+00
36                	-1.6169937471e+00	5.7993560673e-01	1.2306291675e+00	-1.0016791634e+00	2.2323083309e+00
37                	-1.6198253536e+00	5.8197007369e-01	1.2328878448e+00	-1.0033814311e+00	2.2362692760e+00
38                	-1.6215438268e+00	5.8321060106e-01	1.2342879561e+00	-1.0043998488e+00	2.2386878049e+00
39                	-1.6222088147e+00	5.8298569628e-01	1.2348704736e+00	-1.0047735779e+00	2.2396440516e+00
40                	-1.6221770469e+00	5.8143008547e-01	1.2349252225e+00	-1.0047144356e+00	2.2396396581e+00
41                	-1.6214238765e+00	5.7828734681e-01	1.2344721623e+00	-1.0041877953e+00	2.2386599576e+00
42                	-1.6207265712e+00	5.7380567747e-01	1.2339590957e+00	-1.0037470234e+00	2.2377061190e+00
43                	-1.6204422551e+00	5.6884494113e-01	1.2336451397e+00	-1.0036196853e+00	2.2372648250e+00
44                	-1.6206545591e+00	5.6406891433e-01	1.2336238973e+00	-1.0038426104e+00	2.2374665077e+00
45                	-1.6214168329e+00	5.5991629179e-01	1.2339581175e+00	-1.0044377742e+00	2.2383958916e+00
46                	-1.6227908049e+00	5.5655121370e-01	1.2346666586e+00	-1.0054574756e+00	2.2401241342e+00
47                	-1.6245975900e+00	5.5395371587e-01	1.2356405456e+00	-1.0067773171e+00	2.2424178628e+00
48                	-1.6266029808e+00	5.5180604144e-01	1.2367496907e+00	-1.0082281354e+00	2.2449778261e+00
49                	-1.6286351950e+00	5.4994743508e-01	1.2379053650e+00	-1.0096825125e+00	2.2475878775e+00
50                	-1.6305848219e+00	5.4823652355e-01	1.2390407986e+00	-1.0110644226e+00	2.2501052212e+00
51                	-1.6323498535e+00	5.4662284002e-01	1.2400994280e+00	-1.0123001395e+00	2.2523995675e+00
52                	-1.6338610865e+00	5.4502440378e-01	1.2410299376e+00	-1.0133461177e+00	2.2543760553e+00
53                	-1.6350639758e+00	5.4345326304e-01	1.2417978089e+00	-1.0141650713e+00	2.2559628802e+00
54                	-1.6359533635e+00	5.4189173288e-01	1.2423871326e+00	-1.0147597973e+00	2.2571469298e+00
55                	-1.6365300885e+00	5.4039104340e-01	1.2427918518e+00	-1.0151341626e+00	2.2579260144e+00
56                	-1.6368410999e+00	5.3894382134e-01	1.2430267852e+00	-1.0153277073e+00	2.2583544925e+00
57                	-1.6369432781e+00	5.3757950261e-01	1.2431245518e+00	-1.0153810022e+00	2.2585055540e+00
58                	-1.6369194840e+00	5.3627531437e-01	1.2431281401e+00	-1.0153554139e+00	2.2584835540e+00
59                	-1.6368383377e+00	5.3505221296e-01	1.2430814177e+00	-1.0152976289e+00	2.2583790466e+00
