# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.0000000000e+00
# lRef            : 1.0000000000e+01
# Aref            : 1.0000000000e+01
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-3.1305540096e-03	3.2635753002e-01	6.1678062003e-04	-2.8221636995e-03	3.4389443196e-03
1                 	-3.2339556905e+00	5.9019134162e+00	2.1104235994e+00	-2.1787438909e+00	4.2891674902e+00
2                 	-4.8427918974e+00	8.2051810825e+00	3.1914991916e+00	-3.2470423016e+00	6.4385414933e+00
3                 	-5.0672071261e+00	7.8246688107e+00	3.3648072892e+00	-3.3848034815e+00	6.7496107706e+00
4                 	-4.4481589729e+00	5.6972682120e+00	2.9935439885e+00	-2.9513869786e+00	5.9449309671e+00
5                 	-3.4347986577e+00	2.9477512059e+00	2.3583748891e+00	-2.2556112132e+00	4.6139861022e+00
6                 	-2.4070740848e+00	4.7938949785e-01	1.7107556576e+00	-1.5516962560e+00	3.2624519136e+00
7                 	-1.6092435609e+00	-1.1702363638e+00	1.2123480755e+00	-1.0030695232e+00	2.2154175987e+00
8                 	-1.1150334682e+00	-1.8547888075e+00	9.1042627760e-01	-6.5982032943e-01	1.5702466070e+00
9                 	-9.2447300561e-01	-1.7287107367e+00	8.0178874517e-01	-5.2357863302e-01	1.3253673782e+00
10                	-9.5097446994e-01	-1.0826136776e+00	8.2565396401e-01	-5.3814748794e-01	1.3638014519e+00
11                	-1.0974686254e+00	-2.3930624069e-01	9.1944899802e-01	-6.3774412635e-01	1.5571931244e+00
12                	-1.2918217766e+00	5.2549084824e-01	1.0375735703e+00	-7.7303499149e-01	1.8106085618e+00
13                	-1.4855923914e+00	1.0454649604e+00	1.1498868701e+00	-9.1064895639e-01	2.0605358265e+00
14                	-1.6371597651e+00	1.2666098469e+00	1.2319600108e+00	-1.0211797597e+00	2.2531397705e+00
15                	-1.7292397242e+00	1.2381254920e+00	1.2767635592e+00	-1.0908579446e+00	2.3676215038e+00
16                	-1.7709244487e+00	1.0452832749e+00	1.2940128393e+00	-1.1239180290e+00	2.4179308683e+00
17                	-1.7759068976e+00	7.8437662980e-01	1.2934844099e+00	-1.1291646927e+00	2.4226491026e+00
18                	-1.7601319210e+00	5.3644039812e-01	1.2850624165e+00	-1.1176007128e+00	2.4026631292e+00
19                	-1.7309986485e+00	3.5769753612e-01	1.2717003082e+00	-1.0951484944e+00	2.3668488026e+00
20                	-1.6988645189e+00	2.6876191877e-01	1.2589218313e+00	-1.0694036033e+00	2.3283254346e+00
21                	-1.6733884886e+00	2.5551740653e-01	1.2510267232e+00	-1.0478751270e+00	2.2989018502e+00
22                	-1.6560415476e+00	2.9572305804e-01	1.2469667554e+00	-1.0325581699e+00	2.2795249253e+00
23                	-1.6431527840e+00	3.6351907060e-01	1.2429288167e+00	-1.0216883757e+00	2.2646171924e+00
24                	-1.6373419579e+00	4.3090794831e-01	1.2412555195e+00	-1.0167141982e+00	2.2579697176e+00
25                	-1.6363604169e+00	4.8168994420e-01	1.2404558462e+00	-1.0161324938e+00	2.2565883400e+00
26                	-1.6384776374e+00	5.0835079519e-01	1.2397685465e+00	-1.0185933641e+00	2.2583619106e+00
27                	-1.6424372398e+00	5.1224568984e-01	1.2394289748e+00	-1.0227227524e+00	2.2621517272e+00
28                	-1.6471868521e+00	4.9930698406e-01	1.2395299994e+00	-1.0274218525e+00	2.2669518518e+00
29                	-1.6536150397e+00	4.7580753590e-01	1.2414530114e+00	-1.0328885340e+00	2.2743415454e+00
30                	-1.6610848898e+00	4.4968252222e-01	1.2449138834e+00	-1.0386279481e+00	2.2835418314e+00
31                	-1.6689827757e+00	4.2659900063e-01	1.2496070666e+00	-1.0441792424e+00	2.2937863090e+00
32                	-1.6766796892e+00	4.0968022120e-01	1.2550067532e+00	-1.0491763126e+00	2.3041830658e+00
33                	-1.6835375952e+00	3.9978501377e-01	1.2603343306e+00	-1.0533704299e+00	2.3137047605e+00
34                	-1.6884780522e+00	3.9655287795e-01	1.2646624836e+00	-1.0561468104e+00	2.3208092940e+00
35                	-1.6925996509e+00	3.9675608839e-01	1.2684019223e+00	-1.0583986897e+00	2.3268006120e+00
36                	-1.6956494816e+00	3.9860207729e-01	1.2712211440e+00	-1.0600389096e+00	2.3312600536e+00
37                	-1.6975001309e+00	4.0059024503e-01	1.2729772762e+00	-1.0610114928e+00	2.3339887689e+00
38                	-1.6982582936e+00	4.0156624461e-01	1.2737692915e+00	-1.0613736478e+00	2.3351429393e+00
39                	-1.6982745688e+00	4.0111133926e-01	1.2738402575e+00	-1.0613544400e+00	2.3351946975e+00
40                	-1.6975462093e+00	3.9925378018e-01	1.2733165332e+00	-1.0608879427e+00	2.3342044759e+00
41                	-1.6962590364e+00	3.9567704539e-01	1.2723258245e+00	-1.0600961242e+00	2.3324219486e+00
42                	-1.6951794259e+00	3.9094695912e-01	1.2714853876e+00	-1.0594367321e+00	2.3309221197e+00
43                	-1.6946107515e+00	3.8596672663e-01	1.2710914253e+00	-1.0590650389e+00	2.3301564642e+00
44                	-1.6946069542e+00	3.8133305400e-01	1.2711711700e+00	-1.0590213692e+00	2.3301925392e+00
45                	-1.6950934349e+00	3.7735157462e-01	1.2716364174e+00	-1.0592752262e+00	2.3309116436e+00
46                	-1.6959578374e+00	3.7411153430e-01	1.2723720200e+00	-1.0597718275e+00	2.3321438474e+00
47                	-1.6970032755e+00	3.7158931253e-01	1.2731962328e+00	-1.0604051591e+00	2.3336013920e+00
48                	-1.6980766823e+00	3.6946445734e-01	1.2739839087e+00	-1.0610847280e+00	2.3350686366e+00
49                	-1.6990767256e+00	3.6753563740e-01	1.2746717195e+00	-1.0617408659e+00	2.3364125853e+00
50                	-1.6999635433e+00	3.6566182222e-01	1.2752389613e+00	-1.0623440627e+00	2.3375830240e+00
51                	-1.7007166357e+00	3.6379704197e-01	1.2756859796e+00	-1.0628736459e+00	2.3385596255e+00
52                	-1.7013545477e+00	3.6191761959e-01	1.2760402811e+00	-1.0633344071e+00	2.3393746883e+00
53                	-1.7018797402e+00	3.6007320515e-01	1.2763208433e+00	-1.0637193186e+00	2.3400401619e+00
54                	-1.7023061554e+00	3.5826889083e-01	1.2765535827e+00	-1.0640293641e+00	2.3405829468e+00
55                	-1.7026283169e+00	3.5654574488e-01	1.2767487034e+00	-1.0642539652e+00	2.3410026686e+00
56                	-1.7028480600e+00	3.5490510882e-01	1.2769097981e+00	-1.0643931609e+00	2.3413029591e+00
57                	-1.7029686458e+00	3.5335949206e-01	1.2770352937e+00	-1.0644509989e+00	2.3414862926e+00
58                	-1.7030101124e+00	3.5190856649e-01	1.2771325895e+00	-1.0644438177e+00	2.3415764072e+00
59                	-1.7029820446e+00	3.5055699578e-01	1.2771953547e+00	-1.0643843673e+00	2.3415797220e+00
60                	-1.7029111935e+00	3.4928808770e-01	1.2772325254e+00	-1.0642949308e+00	2.3415274562e+00
61                	-1.7028147800e+00	3.4810452690e-01	1.2772497792e+00	-1.0641898903e+00	2.3414396696e+00
62                	-1.7027037850e+00	3.4699354643e-01	1.2772499022e+00	-1.0640788339e+00	2.3413287361e+00
63                	-1.7025791389e+00	3.4595088839e-01	1.2772322059e+00	-1.0639630359e+00	2.3411952419e+00
64                	-1.7024368703e+00	3.4496228598e-01	1.2771962412e+00	-1.0638387497e+00	2.3410349909e+00
65                	-1.7022665486e+00	3.4403203335e-01	1.2771390658e+00	-1.0636970157e+00	2.3408360815e+00
66                	-1.7020591995e+00	3.4314456947e-01	1.2770579027e+00	-1.0635302482e+00	2.3405881509e+00
67                	-1.7018046704e+00	3.4231027224e-01	1.2769491236e+00	-1.0633301087e+00	2.3402792322e+00
68                	-1.7015024142e+00	3.4151914448e-01	1.2768158565e+00	-1.0630944860e+00	2.3399103425e+00
69                	-1.7011410529e+00	3.4077507924e-01	1.2766488970e+00	-1.0628166044e+00	2.3394655014e+00
70                	-1.7007264082e+00	3.4006894271e-01	1.2764516393e+00	-1.0625005886e+00	2.3389522279e+00
71                	-1.7002608544e+00	3.3940586038e-01	1.2762260845e+00	-1.0621478121e+00	2.3383738966e+00
72                	-1.6997522124e+00	3.3877601084e-01	1.2759746600e+00	-1.0617648824e+00	2.3377395424e+00
73                	-1.6992079641e+00	3.3818368813e-01	1.2757004459e+00	-1.0613577412e+00	2.3370581871e+00
74                	-1.6986418037e+00	3.3762096065e-01	1.2754105753e+00	-1.0609365160e+00	2.3363470913e+00
75                	-1.6980648693e+00	3.3708757961e-01	1.2751110144e+00	-1.0605093621e+00	2.3356203765e+00
76                	-1.6974888757e+00	3.3658349864e-01	1.2748079903e+00	-1.0600848805e+00	2.3348928708e+00
77                	-1.6969238773e+00	3.3610631040e-01	1.2745079614e+00	-1.0596698966e+00	2.3341778580e+00
78                	-1.6963880533e+00	3.3565072694e-01	1.2742240271e+00	-1.0592760397e+00	2.3335000669e+00
79                	-1.6958791649e+00	3.3521930423e-01	1.2739527225e+00	-1.0589028037e+00	2.3328555262e+00
80                	-1.6954040725e+00	3.3481227214e-01	1.2736986282e+00	-1.0585547584e+00	2.3322533866e+00
81                	-1.6949616164e+00	3.3442690443e-01	1.2734629414e+00	-1.0582301457e+00	2.3316930870e+00
82                	-1.6945490248e+00	3.3406584912e-01	1.2732440734e+00	-1.0579269881e+00	2.3311710615e+00
83                	-1.6941585316e+00	3.3372578200e-01	1.2730375170e+00	-1.0576397731e+00	2.3306772901e+00
84                	-1.6937909770e+00	3.3340218986e-01	1.2728454047e+00	-1.0573682746e+00	2.3302136794e+00
85                	-1.6934366888e+00	3.3310328195e-01	1.2726603034e+00	-1.0571065371e+00	2.3297668405e+00
86                	-1.6930935407e+00	3.3282006822e-01	1.2724805798e+00	-1.0568532508e+00	2.3293338307e+00
87                	-1.6927589088e+00	3.3255650771e-01	1.2723058571e+00	-1.0566059802e+00	2.3289118373e+00
88                	-1.6924350335e+00	3.3231467614e-01	1.2721377667e+00	-1.0563661502e+00	2.3285039169e+00
89                	-1.6921174463e+00	3.3208868345e-01	1.2719727714e+00	-1.0561310606e+00	2.3281038320e+00
90                	-1.6918073201e+00	3.3187904393e-01	1.2718107446e+00	-1.0559019478e+00	2.3277126924e+00
91                	-1.6915031202e+00	3.3168160658e-01	1.2716501706e+00	-1.0556780349e+00	2.3273282055e+00
92                	-1.6912121978e+00	3.3149700745e-01	1.2714969257e+00	-1.0554637349e+00	2.3269606606e+00
93                	-1.6909278418e+00	3.3132379447e-01	1.2713448854e+00	-1.0552553991e+00	2.3266002845e+00
94                	-1.6906567472e+00	3.3115645916e-01	1.2711976182e+00	-1.0550579381e+00	2.3262555563e+00
95                	-1.6903984334e+00	3.3100308095e-01	1.2710564426e+00	-1.0548702121e+00	2.3259266546e+00
96                	-1.6901554599e+00	3.3085667796e-01	1.2709222765e+00	-1.0546943217e+00	2.3256165982e+00
97                	-1.6899245703e+00	3.3071929883e-01	1.2707934019e+00	-1.0545278694e+00	2.3253212712e+00
98                	-1.6897082607e+00	3.3059078128e-01	1.2706733252e+00	-1.0543715980e+00	2.3250449233e+00
99                	-1.6895016163e+00	3.3046985668e-01	1.2705569316e+00	-1.0542231505e+00	2.3247800821e+00
100               	-1.6893034365e+00	3.3035431715e-01	1.2704448553e+00	-1.0540810088e+00	2.3245258642e+00
101               	-1.6891124090e+00	3.3024675064e-01	1.2703378736e+00	-1.0539434722e+00	2.3242813457e+00
102               	-1.6889271009e+00	3.3014348967e-01	1.2702348886e+00	-1.0538096566e+00	2.3240445452e+00
103               	-1.6887425639e+00	3.3004555927e-01	1.2701321241e+00	-1.0536765018e+00	2.3238086259e+00
104               	-1.6885586906e+00	3.2995139477e-01	1.2700302389e+00	-1.0535435712e+00	2.3235738101e+00
105               	-1.6883707023e+00	3.2986174576e-01	1.2699255962e+00	-1.0534079042e+00	2.3233335004e+00
106               	-1.6881791252e+00	3.2977393982e-01	1.2698183437e+00	-1.0532699533e+00	2.3230882971e+00
107               	-1.6879824257e+00	3.2969336117e-01	1.2697076473e+00	-1.0531286021e+00	2.3228362494e+00
108               	-1.6877824673e+00	3.2961172652e-01	1.2695942402e+00	-1.0529853472e+00	2.3225795874e+00
109               	-1.6875782682e+00	3.2953515603e-01	1.2694774692e+00	-1.0528395336e+00	2.3223170028e+00
110               	-1.6873739559e+00	3.2946125051e-01	1.2693605989e+00	-1.0526936565e+00	2.3220542554e+00
111               	-1.6871698162e+00	3.2938969021e-01	1.2692428760e+00	-1.0525483783e+00	2.3217912542e+00
112               	-1.6869658099e+00	3.2931920716e-01	1.2691237025e+00	-1.0524039586e+00	2.3215276612e+00
113               	-1.6867611913e+00	3.2925486925e-01	1.2690028581e+00	-1.0522597622e+00	2.3212626203e+00
114               	-1.6865662255e+00	3.2918899712e-01	1.2688883081e+00	-1.0521220714e+00	2.3210103795e+00
115               	-1.6863735476e+00	3.2912783468e-01	1.2687742269e+00	-1.0519864341e+00	2.3207606610e+00
