# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.0000000000e+00
# lRef            : 1.0000000000e+01
# Aref            : 1.0000000000e+01
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-2.3015749123e-03	3.2808318772e-01	4.2399600962e-04	-2.0895769075e-03	2.5135729171e-03
1                 	-2.3680794160e+00	5.9578014956e+00	1.5873676489e+00	-1.5743955916e+00	3.1617632405e+00
2                 	-3.5561513877e+00	8.3015874222e+00	2.4057067431e+00	-2.3532980161e+00	4.7590047592e+00
3                 	-3.6889989764e+00	7.9415509096e+00	2.5174608326e+00	-2.4302685601e+00	4.9477293927e+00
4                 	-3.1953120655e+00	5.8231014392e+00	2.2082506007e+00	-2.0911867651e+00	4.2994373659e+00
5                 	-2.4120043549e+00	3.0680492371e+00	1.6996044986e+00	-1.5622021056e+00	3.2618066042e+00
6                 	-1.6345859843e+00	5.8251807856e-01	1.1919195274e+00	-1.0386262206e+00	2.2305457480e+00
7                 	-1.0468306417e+00	-1.0921350671e+00	8.1060971033e-01	-6.4152578650e-01	1.4521354968e+00
8                 	-6.9706121114e-01	-1.8022158500e+00	5.8859275866e-01	-4.0276483181e-01	9.9135759047e-01
9                 	-5.8257668642e-01	-1.6864325118e+00	5.2098089228e-01	-3.2208624028e-01	8.4306713256e-01
10                	-6.0659700059e-01	-1.0345567722e+00	5.4237103917e-01	-3.3541148101e-01	8.7778252017e-01
11                	-7.3608106409e-01	-1.8952619565e-01	6.2942393820e-01	-4.2136909499e-01	1.0507930332e+00
12                	-8.9500580870e-01	5.7001834698e-01	7.3175146148e-01	-5.2913007796e-01	1.2608815394e+00
13                	-1.0411774511e+00	1.0832865040e+00	8.2126070056e-01	-6.3054710082e-01	1.4518078014e+00
14                	-1.1506316246e+00	1.3004418767e+00	8.8300412033e-01	-7.0912956443e-01	1.5921336848e+00
15                	-1.2037938055e+00	1.2731242073e+00	9.0794743343e-01	-7.4982008875e-01	1.6577675222e+00
16                	-1.2255590107e+00	1.0808934814e+00	9.1597006027e-01	-7.6757398055e-01	1.6835440408e+00
17                	-1.2247220719e+00	8.2087409833e-01	9.1244463151e-01	-7.6849975615e-01	1.6809443877e+00
