# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.0000000000e+00
# lRef            : 1.0000000000e+01
# Aref            : 1.0000000000e+01
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-3.6906496533e-03	3.2733201719e-01	7.0378264073e-04	-3.3387583330e-03	4.0425409737e-03
1                 	-3.7377465941e+00	5.9586640986e+00	2.4432027416e+00	-2.5161452234e+00	4.9593479649e+00
2                 	-5.5871948094e+00	8.3071770742e+00	3.6953307220e+00	-3.7395294484e+00	7.4348601704e+00
3                 	-5.8273963536e+00	7.9298322880e+00	3.8968929291e+00	-3.8789498891e+00	7.7758428182e+00
4                 	-5.0852922930e+00	5.7936621208e+00	3.4606422293e+00	-3.3549711784e+00	6.8156134077e+00
5                 	-3.8805615357e+00	3.0279726888e+00	2.7133434844e+00	-2.5238897935e+00	5.2372332779e+00
6                 	-2.6630520229e+00	5.4032588309e-01	1.9467684296e+00	-1.6896678081e+00	3.6364362377e+00
7                 	-1.7202513680e+00	-1.1296815773e+00	1.3509478724e+00	-1.0447774318e+00	2.3957253042e+00
8                 	-1.1416541956e+00	-1.8351815067e+00	9.8506481974e-01	-6.4912178569e-01	1.6341866054e+00
9                 	-9.2844013598e-01	-1.7227113690e+00	8.5030676539e-01	-5.0328675329e-01	1.3535935187e+00
10                	-9.6963217150e-01	-1.0733947059e+00	8.7221563056e-01	-5.3352435622e-01	1.4057399868e+00
11                	-1.1543785336e+00	-2.2568074520e-01	9.8423917317e-01	-6.6225894702e-01	1.6464981202e+00
12                	-1.3989549800e+00	5.4411916533e-01	1.1333611898e+00	-8.3227438504e-01	1.9656355749e+00
13                	-1.6353310872e+00	1.0658658101e+00	1.2748871720e+00	-9.9788750125e-01	2.2727746732e+00
14                	-1.8192414615e+00	1.2901435709e+00	1.3810022371e+00	-1.1287403429e+00	2.5097425801e+00
15                	-1.9279794583e+00	1.2640907482e+00	1.4409290025e+00	-1.2075149571e+00	2.6484439595e+00
16                	-1.9746852685e+00	1.0742135911e+00	1.4658545199e+00	-1.2417580086e+00	2.7076125285e+00
17                	-1.9772329305e+00	8.1410817886e-01	1.4666183965e+00	-1.2439237323e+00	2.7105421288e+00
18                	-1.9535871305e+00	5.6522673585e-01	1.4536450856e+00	-1.2267645877e+00	2.6804096734e+00
19                	-1.9144880100e+00	3.8498594696e-01	1.4332763552e+00	-1.1978498324e+00	2.6311261876e+00
20                	-1.8713242057e+00	2.9332371313e-01	1.4123777139e+00	-1.1651353487e+00	2.5775130627e+00
21                	-1.8368997865e+00	2.7812721143e-01	1.3968954239e+00	-1.1384520746e+00	2.5353474984e+00
22                	-1.8144798721e+00	3.1595854706e-01	1.3884586634e+00	-1.1202505404e+00	2.5087092038e+00
23                	-1.7976975064e+00	3.8294884986e-01	1.3808316586e+00	-1.1072816771e+00	2.4881133357e+00
24                	-1.7907968533e+00	4.5068746549e-01	1.3779583248e+00	-1.1018176908e+00	2.4797760157e+00
25                	-1.7912560980e+00	5.0237727131e-01	1.3781018205e+00	-1.1022051877e+00	2.4803070082e+00
26                	-1.7966702890e+00	5.3040014890e-01	1.3799718366e+00	-1.1066843707e+00	2.4866562072e+00
27                	-1.8044546125e+00	5.3544500344e-01	1.3827610694e+00	-1.1130740778e+00	2.4958351472e+00
28                	-1.8121412290e+00	5.2358094692e-01	1.3852363959e+00	-1.1195230310e+00	2.5047594269e+00
29                	-1.8212658272e+00	5.0120244693e-01	1.3894011804e+00	-1.1265652370e+00	2.5159664174e+00
30                	-1.8323903156e+00	4.7435314592e-01	1.3955317796e+00	-1.1346244258e+00	2.5301562053e+00
31                	-1.8429677831e+00	4.5038687282e-01	1.4019167420e+00	-1.1420094121e+00	2.5439261541e+00
32                	-1.8524671820e+00	4.3263758795e-01	1.4081404604e+00	-1.1483969518e+00	2.5565374122e+00
33                	-1.8602020063e+00	4.2210901407e-01	1.4136256272e+00	-1.1533891927e+00	2.5670148199e+00
34                	-1.8664434646e+00	4.1796434122e-01	1.4182133186e+00	-1.1573368053e+00	2.5755501239e+00
35                	-1.8709137463e+00	4.1854387714e-01	1.4219251942e+00	-1.1599511492e+00	2.5818763434e+00
36                	-1.8741677625e+00	4.2086463995e-01	1.4246356834e+00	-1.1618499208e+00	2.5864856042e+00
37                	-1.8762822812e+00	4.2327498304e-01	1.4263821863e+00	-1.1630911880e+00	2.5894733744e+00
38                	-1.8774673101e+00	4.2453039244e-01	1.4273428738e+00	-1.1637958732e+00	2.5911387470e+00
39                	-1.8779098917e+00	4.2418643733e-01	1.4276565382e+00	-1.1640816226e+00	2.5917381608e+00
40                	-1.8777539288e+00	4.2225560569e-01	1.4275213184e+00	-1.1639932696e+00	2.5915145880e+00
41                	-1.8773650271e+00	4.1860761615e-01	1.4272499721e+00	-1.1637400411e+00	2.5909900132e+00
42                	-1.8772171874e+00	4.1380037966e-01	1.4271929820e+00	-1.1636206964e+00	2.5908136784e+00
43                	-1.8774269458e+00	4.0870646816e-01	1.4274106819e+00	-1.1637216049e+00	2.5911322868e+00
44                	-1.8778841425e+00	4.0393596478e-01	1.4278099263e+00	-1.1639791794e+00	2.5917891057e+00
45                	-1.8785011108e+00	3.9983492048e-01	1.4283358770e+00	-1.1643331723e+00	2.5926690493e+00
46                	-1.8792601083e+00	3.9650526438e-01	1.4289561108e+00	-1.1647820529e+00	2.5937381637e+00
47                	-1.8801202422e+00	3.9400923625e-01	1.4295949332e+00	-1.1653227756e+00	2.5949177088e+00
48                	-1.8809563319e+00	3.9195425780e-01	1.4301757393e+00	-1.1658684622e+00	2.5960442015e+00
49                	-1.8817061010e+00	3.9013153727e-01	1.4306656596e+00	-1.1663732712e+00	2.5970389308e+00
50                	-1.8823550039e+00	3.8835324844e-01	1.4310629098e+00	-1.1668235490e+00	2.5978864588e+00
51                	-1.8829406959e+00	3.8658104062e-01	1.4313975724e+00	-1.1672419097e+00	2.5986394821e+00
52                	-1.8835004934e+00	3.8478782148e-01	1.4316976332e+00	-1.1676516768e+00	2.5993493101e+00
53                	-1.8840597343e+00	3.8303126439e-01	1.4319921554e+00	-1.1680636566e+00	2.6000558120e+00
54                	-1.8845966979e+00	3.8129196963e-01	1.4322836554e+00	-1.1684548702e+00	2.6007385256e+00
55                	-1.8850750101e+00	3.7961430478e-01	1.4325556676e+00	-1.1687971763e+00	2.6013528439e+00
56                	-1.8854691575e+00	3.7797211997e-01	1.4327972672e+00	-1.1690705238e+00	2.6018677911e+00
57                	-1.8857769357e+00	3.7641748306e-01	1.4330056660e+00	-1.1692741026e+00	2.6022797687e+00
58                	-1.8859897736e+00	3.7492914651e-01	1.4331684248e+00	-1.1694055612e+00	2.6025739860e+00
59                	-1.8861239697e+00	3.7354827261e-01	1.4332882155e+00	-1.1694798619e+00	2.6027680774e+00
60                	-1.8861874455e+00	3.7224788993e-01	1.4333642466e+00	-1.1695053222e+00	2.6028695688e+00
61                	-1.8862030992e+00	3.7106028969e-01	1.4334076542e+00	-1.1694992721e+00	2.6029069264e+00
62                	-1.8861653273e+00	3.6993775622e-01	1.4334137028e+00	-1.1694584760e+00	2.6028721787e+00
63                	-1.8860887329e+00	3.6890015361e-01	1.4333937773e+00	-1.1693918442e+00	2.6027856216e+00
64                	-1.8859698218e+00	3.6790517772e-01	1.4333512767e+00	-1.1692941834e+00	2.6026454601e+00
65                	-1.8858043551e+00	3.6697980830e-01	1.4332836735e+00	-1.1691625184e+00	2.6024461918e+00
66                	-1.8855834538e+00	3.6608396613e-01	1.4331888409e+00	-1.1689890334e+00	2.6021778742e+00
67                	-1.8853121621e+00	3.6525315872e-01	1.4330705501e+00	-1.1687768870e+00	2.6018474371e+00
68                	-1.8849706902e+00	3.6445238000e-01	1.4329145273e+00	-1.1685134266e+00	2.6014279538e+00
