# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.0000000000e+00
# lRef            : 1.0000000000e+01
# Aref            : 1.0000000000e+01
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-2.1624330682e-03	3.2691542843e-01	4.1991130396e-04	-1.9524774163e-03	2.3723887202e-03
1                 	-2.2705953577e+00	5.9271415051e+00	1.5066879367e+00	-1.5172513894e+00	3.0239393261e+00
2                 	-3.3888794132e+00	8.2555268320e+00	2.2725365667e+00	-2.2526111298e+00	4.5251476966e+00
3                 	-3.5086118425e+00	7.8750953303e+00	2.3667920970e+00	-2.3252157940e+00	4.6920078910e+00
4                 	-3.0577543985e+00	5.7415842555e+00	2.0845405771e+00	-2.0154841099e+00	4.1000246871e+00
5                 	-2.3246778543e+00	2.9831876381e+00	1.6106916549e+00	-1.5193320268e+00	3.1300236817e+00
6                 	-1.5978180322e+00	5.0468242396e-01	1.1400169996e+00	-1.0278095324e+00	2.1678265320e+00
7                 	-1.0559973671e+00	-1.1561899523e+00	7.9309178583e-01	-6.5945147419e-01	1.4525432600e+00
8                 	-7.4754436336e-01	-1.8529379102e+00	6.0173390205e-01	-4.4667741233e-01	1.0484113144e+00
9                 	-6.7155856385e-01	-1.7418955151e+00	5.6530656242e-01	-3.8890528264e-01	9.5421184506e-01
10                	-7.0544886325e-01	-1.0808613561e+00	5.9527228400e-01	-4.0781272126e-01	1.0030850053e+00
11                	-8.0707196657e-01	-2.2987141792e-01	6.6544166566e-01	-4.7435113374e-01	1.1397927994e+00
12                	-9.3354688698e-01	5.3565234018e-01	7.4683844239e-01	-5.6012766578e-01	1.3069661082e+00
13                	-1.0501083816e+00	1.0520550793e+00	8.1735404600e-01	-6.4143135857e-01	1.4587854046e+00
14                	-1.1353995632e+00	1.2724420415e+00	8.6365542101e-01	-7.0357185267e-01	1.5672272737e+00
15                	-1.1713821435e+00	1.2454297225e+00	8.7685340085e-01	-7.3295544307e-01	1.6098088439e+00
16                	-1.1884988801e+00	1.0496081421e+00	8.8115166511e-01	-7.4792304759e-01	1.6290747127e+00
17                	-1.1901535374e+00	7.8703151465e-01	8.7824960415e-01	-7.5102873537e-01	1.6292783395e+00
18                	-1.1811131086e+00	5.4176343472e-01	8.7196311228e-01	-7.4513155243e-01	1.6170946647e+00
19                	-1.1691845089e+00	3.6440983311e-01	8.6650566198e-01	-7.3593167794e-01	1.6024373399e+00
20                	-1.1522711530e+00	2.7655854305e-01	8.6057439016e-01	-7.2198395796e-01	1.5825583481e+00
21                	-1.1439434999e+00	2.6271658002e-01	8.6072752349e-01	-7.1357973811e-01	1.5743072616e+00
22                	-1.1387504883e+00	3.0146545572e-01	8.6246782667e-01	-7.0751657500e-01	1.5699844017e+00
23                	-1.1334455580e+00	3.6692527925e-01	8.6266441631e-01	-7.0211334989e-01	1.5647777662e+00
24                	-1.1268715147e+00	4.3462100677e-01	8.6042544594e-01	-6.9665879178e-01	1.5570842377e+00
25                	-1.1211346953e+00	4.8589139625e-01	8.5743079573e-01	-6.9241929740e-01	1.5498500931e+00
26                	-1.1177816350e+00	5.1324814456e-01	8.5439099422e-01	-6.9058613785e-01	1.5449771321e+00
27                	-1.1152550730e+00	5.1806369512e-01	8.5114318094e-01	-6.8968348250e-01	1.5408266634e+00
28                	-1.1129888357e+00	5.0635121926e-01	8.4779121418e-01	-6.8909322866e-01	1.5368844428e+00
29                	-1.1140147407e+00	4.8435458371e-01	8.4684815869e-01	-6.9059066135e-01	1.5374388200e+00
30                	-1.1206426798e+00	4.5748731378e-01	8.5003818015e-01	-6.9562358977e-01	1.5456617699e+00
31                	-1.1290373946e+00	4.3347324572e-01	8.5488210569e-01	-7.0159634177e-01	1.5564784475e+00
32                	-1.1376780656e+00	4.1584110008e-01	8.6036995063e-01	-7.0749309030e-01	1.5678630409e+00
33                	-1.1450388738e+00	4.0528290034e-01	8.6547938020e-01	-7.1229918372e-01	1.5777785639e+00
34                	-1.1512262278e+00	4.0109653919e-01	8.6986381654e-01	-7.1629431956e-01	1.5861581361e+00
35                	-1.1555874945e+00	4.0147475803e-01	8.7342025250e-01	-7.1887736824e-01	1.5922976207e+00
36                	-1.1582685013e+00	4.0368124374e-01	8.7569843392e-01	-7.2041928430e-01	1.5961177182e+00
37                	-1.1591759448e+00	4.0608518583e-01	8.7662444110e-01	-7.2086372425e-01	1.5974881653e+00
38                	-1.1586712843e+00	4.0739176281e-01	8.7648150577e-01	-7.2043053142e-01	1.5969120372e+00
39                	-1.1574310462e+00	4.0708800962e-01	8.7568733290e-01	-7.1958737975e-01	1.5952747126e+00
40                	-1.1557110902e+00	4.0534918133e-01	8.7447378104e-01	-7.1847419965e-01	1.5929479807e+00
41                	-1.1536169826e+00	4.0188570582e-01	8.7293677219e-01	-7.1714859649e-01	1.5900853687e+00
42                	-1.1522477111e+00	3.9711644509e-01	8.7185173623e-01	-7.1632184294e-01	1.5881735792e+00
43                	-1.1521067728e+00	3.9198423880e-01	8.7158133725e-01	-7.1631610414e-01	1.5878974414e+00
44                	-1.1529521954e+00	3.8720428672e-01	8.7198497614e-01	-7.1695970729e-01	1.5889446834e+00
45                	-1.1543895028e+00	3.8311766993e-01	8.7281847109e-01	-7.1798026723e-01	1.5907987383e+00
46                	-1.1562022223e+00	3.7974746982e-01	8.7392751543e-01	-7.1923846463e-01	1.5931659801e+00
47                	-1.1581364920e+00	3.7715968594e-01	8.7508960371e-01	-7.2059169016e-01	1.5956812939e+00
48                	-1.1598401593e+00	3.7508269781e-01	8.7606582922e-01	-7.2180724469e-01	1.5978730739e+00
49                	-1.1611483298e+00	3.7325678727e-01	8.7676860499e-01	-7.2276402728e-01	1.5995326323e+00
50                	-1.1620243764e+00	3.7150357040e-01	8.7719129050e-01	-7.2342873116e-01	1.6006200217e+00
51                	-1.1625325528e+00	3.6975727678e-01	8.7738206612e-01	-7.2384151973e-01	1.6012235859e+00
52                	-1.1627798734e+00	3.6798731617e-01	8.7741745925e-01	-7.2407114377e-01	1.6014886030e+00
53                	-1.1628758167e+00	3.6622722412e-01	8.7737505106e-01	-7.2418829117e-01	1.6015633422e+00
54                	-1.1628814530e+00	3.6448083800e-01	8.7730482562e-01	-7.2422904016e-01	1.6015338658e+00
55                	-1.1628349438e+00	3.6279050252e-01	8.7723488875e-01	-7.2421749947e-01	1.6014523882e+00
56                	-1.1627441297e+00	3.6116135522e-01	8.7717088684e-01	-7.2415868632e-01	1.6013295732e+00
57                	-1.1626185740e+00	3.5962962528e-01	8.7710972529e-01	-7.2406371136e-01	1.6011734367e+00
58                	-1.1624577204e+00	3.5818532339e-01	8.7704206410e-01	-7.2393668833e-01	1.6009787524e+00
59                	-1.1622746568e+00	3.5684279969e-01	8.7696447737e-01	-7.2379241813e-01	1.6007568955e+00
60                	-1.1620793445e+00	3.5558149904e-01	8.7687623115e-01	-7.2364122896e-01	1.6005174601e+00
61                	-1.1618906979e+00	3.5441119360e-01	8.7678150660e-01	-7.2349994459e-01	1.6002814512e+00
62                	-1.1617147845e+00	3.5330437285e-01	8.7668316940e-01	-7.2337319981e-01	1.6000563692e+00
63                	-1.1615587555e+00	3.5227144168e-01	8.7658601380e-01	-7.2326574863e-01	1.5998517624e+00
64                	-1.1614158126e+00	3.5128314452e-01	8.7649202660e-01	-7.2316979933e-01	1.5996618259e+00
65                	-1.1612813378e+00	3.5035043391e-01	8.7640170824e-01	-7.2308048371e-01	1.5994821920e+00
66                	-1.1611402176e+00	3.4945480739e-01	8.7631114447e-01	-7.2298464533e-01	1.5992957898e+00
67                	-1.1609868991e+00	3.4861532138e-01	8.7621801064e-01	-7.2287789376e-01	1.5990959044e+00
68                	-1.1608094567e+00	3.4780821658e-01	8.7611858284e-01	-7.2275016524e-01	1.5988687481e+00
69                	-1.1605987461e+00	3.4705888068e-01	8.7600368559e-01	-7.2259690332e-01	1.5986005889e+00
70                	-1.1603485680e+00	3.4634145798e-01	8.7587016784e-01	-7.2241348410e-01	1.5982836519e+00
71                	-1.1600630463e+00	3.4567529765e-01	8.7571778494e-01	-7.2220415384e-01	1.5979219388e+00
72                	-1.1597399983e+00	3.4503694635e-01	8.7554342285e-01	-7.2196828685e-01	1.5975117097e+00
73                	-1.1593899730e+00	3.4444568964e-01	8.7535040554e-01	-7.2171477023e-01	1.5970651758e+00
74                	-1.1590217943e+00	3.4387696568e-01	8.7514531662e-01	-7.2144913604e-01	1.5965944527e+00
75                	-1.1586453759e+00	3.4335232949e-01	8.7493115928e-01	-7.2117979626e-01	1.5961109555e+00
76                	-1.1582719745e+00	3.4284454765e-01	8.7471608270e-01	-7.2091393317e-01	1.5956300159e+00
77                	-1.1579137711e+00	3.4237314275e-01	8.7450659233e-01	-7.2066047496e-01	1.5951670673e+00
78                	-1.1575742413e+00	3.4191852688e-01	8.7430547106e-01	-7.2042150575e-01	1.5947269768e+00
79                	-1.1572600266e+00	3.4150127476e-01	8.7411673661e-01	-7.2020165825e-01	1.5943183949e+00
80                	-1.1569711997e+00	3.4109555718e-01	8.7394400906e-01	-7.1999919519e-01	1.5939432043e+00
81                	-1.1567044858e+00	3.4072781870e-01	8.7378394598e-01	-7.1981251284e-01	1.5935964588e+00
82                	-1.1564544384e+00	3.4036831306e-01	8.7363511367e-01	-7.1963688158e-01	1.5932719952e+00
83                	-1.1562208616e+00	3.4004160214e-01	8.7349727338e-01	-7.1947222488e-01	1.5929694983e+00
84                	-1.1559956876e+00	3.3972633429e-01	8.7336679167e-01	-7.1931229180e-01	1.5926790835e+00
85                	-1.1557772352e+00	3.3944614480e-01	8.7324111090e-01	-7.1915667973e-01	1.5923977906e+00
86                	-1.1555642385e+00	3.3917275253e-01	8.7312165996e-01	-7.1900340847e-01	1.5921250684e+00
